 Pulsar     PTA      raw_Tobs  mf_Tobs  TOAerr   cadence      FoM   
J0023+0923 NANOGrav      2.30     2.30     1.85    30.03     0.89
J0030+0451 EPTA         15.07    15.07     2.68     7.80     2.44
J0030+0451 NANOGrav     15.07     8.77     1.42    53.40     1.73
J0034-0534 EPTA         13.51    13.51     4.92    30.47     1.72
J0218+4232 EPTA         17.57    17.57     7.25     8.27     2.08
J0340+4130 NANOGrav      1.68     1.68     5.12    14.98     0.65
J0437-4715 PPTA         18.58    18.58     0.14     6.70     5.44
J0610-2100 EPTA          6.90     6.90     4.99    10.08     1.39
J0613-0200 PPTA         16.05    11.20     1.08    14.67     2.41
J0613-0200 EPTA         16.05    16.05     1.89     6.96     2.77
J0613-0200 NANOGrav     16.05     8.59     1.09    20.78     2.03
J0621+1002 EPTA         11.77    11.77     7.63     8.77     1.67
J0645+5158 NANOGrav      2.42     2.42     0.98    19.18     1.11
J0711-6830 PPTA         17.10    17.10     1.77    22.96     2.52
J0751+1807 EPTA         17.61    17.61     2.93    10.63     2.49
J0900-3144 EPTA          6.86     6.86     3.21     3.82     1.72
J0931-1902 NANOGrav      0.64     0.64     4.49    14.71     0.42
J1012+5307 EPTA         16.83    16.83     1.72     7.42     2.87
J1012+5307 NANOGrav     16.83     9.22     2.18    19.59     1.80
J1022+1001 PPTA         17.54     8.13     1.01    11.37     2.15
J1022+1001 EPTA         17.54    17.54     1.65    11.10     2.83
J1024-0719 PPTA         18.20    15.06     2.19    20.45     2.29
J1024-0719 EPTA         18.20    17.26     2.09    13.65     2.59
J1024-0719 NANOGrav     18.20     4.02     2.44    18.12     1.17
J1045-4509 PPTA         17.01    17.01     3.39    20.99     2.19
J1455-3330 EPTA          9.68     9.25     3.56     7.71     1.79
J1455-3330 NANOGrav      9.68     9.22     4.46    23.56     1.49
J1600-3053 PPTA         12.30     9.08     0.64    11.76     2.52
J1600-3053 EPTA         12.30     7.66     0.50     6.63     2.61
J1600-3053 NANOGrav     12.30     5.98     1.08    16.55     1.74
J1603-7202 PPTA         15.31    15.31     1.45    23.60     2.49
J1614-2230 NANOGrav      5.09     5.09     1.58    18.61     1.45
J1640+2224 EPTA         17.25    17.25     2.47    14.32     2.48
J1640+2224 NANOGrav     17.25     8.91     0.61    47.85     2.14
J1643-1224 PPTA         20.14    16.97     1.28    23.83     2.70
J1643-1224 EPTA         20.14    17.30     1.62    10.38     2.84
J1643-1224 NANOGrav     20.14     9.02     1.85    20.59     1.84
J1713+0747 PPTA         22.46    20.89     0.19    19.61     4.78
J1713+0747 EPTA         22.46    17.66     0.24     7.63     4.62
J1713+0747 NANOGrav     22.46    21.22     0.24    18.36     4.56
J1721-2457 EPTA         12.76    12.76    10.69    31.93     1.39
J1730-2304 PPTA         20.28    16.91     1.44    29.14     2.56
J1730-2304 EPTA         20.28    16.69     2.30    24.19     2.33
J1732-5049 PPTA          8.04     8.04     3.05    21.90     1.53
J1738+0333 EPTA          7.33     7.33     3.67    19.83     1.42
J1738+0333 NANOGrav      7.33     3.99     1.82    50.21     1.11
J1741+1351 NANOGrav      4.25     4.25     0.66    37.85     1.49
J1744-1134 PPTA         19.88    19.88     0.40    20.69     3.89
J1744-1134 EPTA         19.88    17.25     0.54    15.22     3.50
J1744-1134 NANOGrav     19.88     9.23     0.61    20.67     2.40
J1747-4036 NANOGrav      1.67     1.67     4.18    14.86     0.68
J1751-2857 EPTA          8.31     8.31     2.62    21.53     1.62
J1801-1417 EPTA          7.05     7.05     2.44    20.77     1.52
